text,category
"Cliccando su “Iscriviti ora”, “Iscriviti a LinkedIn”, “Iscriviti” o simili, registrandosi, accedendo o utilizzando i nostri servizi (descritti di seguito), Lei accetta di stipulare un contratto giuridicamente vincolante con LinkedIn (anche se utilizza i nostri Servizi per conto di un’azienda)",acceptance
"Se dopo la pubblicazione o l’invio di un avviso relativo alle modifiche apportate ai presenti termini e condizioni continuerà a utilizzare i nostri Servizi, riterremo da Lei accettati i termini e le condizioni aggiornati a partire dalla data in cui sono entrati in vigore",acceptance
"Accedendo o registrandosi per ricevere Comunicazioni, l'utente accetta di rispettare i presenti Termini",acceptance
L’utilizzo continuato delle Comunicazioni da parte dell’utente dopo la data di entrata in vigore delle modifiche citate costituisce l’accettazione delle stesse,acceptance
"Creando un account Tinder, tramite un dispositivo mobile, un'applicazione mobile o un computer (collettivamente, il ""Servizio""), l'utente accetta di essere vincolato",acceptance
dalle presenti Condizioni di utilizzo,acceptance
"dall'Informativa sulla privacy, dall'Informativa sui cookie, dalle Procedure di arbitrato (se applicabili) e dai Consigli per la sicurezza, ciascuno dei quali è incorporato per riferimento nell'Accordo",acceptance
"da eventuali condizioni comunicate e accettate dall'utente se ha acquistato le funzioni, i prodotti o i servizi aggiuntivi che offriamo sul Servizio (collettivamente, ""Accordo"")",acceptance
L'uso continuato del Servizio da parte dell'utente dopo che le modifiche sono diventate effettive implica l'accettazione dell'Accordo revisionato,acceptance
"Utilizzando il Servizio in qualsiasi modo, l'utente accetta la convenzione arbitrale di cui sopra",acceptance
"Navigando su questo sito web e utilizzando i suoi contenuti, direttamente o tramite terzi, l'utente accetta di essere legalmente vincolato dai presenti Termini di Utilizzo e di agire nel pieno rispetto degli stessi",acceptance
"Accedendo al presente sito web, l’utente autorizza Ryanair ad avviare tutte le indagini necessarie al fine di impedire un utilizzo non autorizzato del sito web",acceptance
"L’Utente che continui ad utilizzare Wure successivamente alla pubblicazione delle modifiche, accetta senza riserva i nuovi Termini",acceptance
Il Contratto si intende concluso al momento della ricezione da parte del Fornitore dell’“Offerta” sottoscritta da parte del Cliente,acceptance
Il Contratto si intende altresì concluso con il pagamento dell’importo indicato nell’Offerta o di una parte di esso,acceptance
La trasmissione al Fornitore dell’“Offerta” sottoscritta costituisce integrale accettazione del Cliente delle presenti Condizioni Generali,acceptance
Il Fornitore si riserva il diritto di non concludere il contratto qualora,acceptance
il Cliente risulti a qualsiasi titolo inadempiente verso il Fornitore,acceptance
il Cliente sia sottoposto a procedura di fallimento o altre procedure concorsuali,acceptance
"sussistano motivi tecnico-organizzativi e/o commerciali, che impediscano od ostacolino in misura rilevante l’attivazione del Servizio ovvero qualora emerga l’impossibilità di fornire il Servizio richiesto",acceptance
Qualsiasi Conferma d'Ordine firmata dal click di convalida costituisce un impegno irrevocabile del Cliente salvo il diritto di recesso previsto dal presente Contratto,acceptance
La Ricevuta di Elaborazione d’Ordine non costituisce accettazione dell’Ordine,acceptance
La conclusione del Contratto avviene al momento dell’invio della Conferma dell'Ordine da parte di <blank> riportante la conferma dell'Ordine con tutti gli elementi costitutivi del Contratto,acceptance
<blank> si riserva la possibilità di non confermare un Ordine per qualsivoglia motivo,acceptance
Il “click di convalida” del Cliente registrato costituisce una firma elettronica che incorpora il consenso da parte del Cliente all’acquisto,acceptance
Questa firma elettronica ha tra le parti lo stesso valore di una firma manoscritta,acceptance
Gli Utenti che utilizzano i servizi offerti da NaturaSì Online Shopping Shopping* dichiarano di conoscere ed accettare le presenti condizioni generali di contratto,acceptance
La Ricevuta di elaborazione d’Ordine non costituisce accettazione dell’ordine,acceptance
La conclusione del contratto avviene al momento dell’invio della Conferma d’Ordine da parte del Titolare all’indirizzo email fornito dall’Utente,acceptance
"L'Utente che continui ad utilizzare NaturaSì Online Shopping successivamente alla pubblicazione delle modifiche, accetta senza riserva i nuovi Termini",acceptance
Ti invitiamo ad accedere ai nostri siti web e a utilizzare il servizio Evernote; tieni tuttavia presente che tale invito è soggetto alla tua accettazione dei presenti Termini di servizio,acceptance
"continuare a utilizzare il Servizio dopo l'entrata in vigore di tale aggiornamento rappresenterà l'accettazione, da parte dell'utente, a essere vincolato ai nuovi Termini",acceptance
"Accedendo ai Servizi o alle Piattaforme, o utilizzandoli, l’utente conferma di aver letto, compreso e accettato i presenti Termini e quelli dell’Informativa sulla privacy, l’Informativa sull’uso dei cookie e le Linee guida per la community",acceptance
"L’uso continuato dei nostri Servizi o delle nostre Piattaforme successivo alle modifiche ai Termini, implicherà l’accettazione degli stessi",acceptance
"Utilizzando i Servizi, accetti i presenti Termini",acceptance
"Continuando ad utilizzare i Servizi offerti da Terravision dopo la pubblicazione di una versione aggiornata della Direttiva per la Privacy, l’Utente accetta tacitamente la Direttiva per la Privacy con le relative modifiche",acceptance
"Nel caso di cambiamenti sostanziali nelle modalità di raccolta e utilizzo delle IIP e dei Dati Attinenti da parte di Terravision , la gestione delle IIP e dei Dati Attinenti del singolo Utente resterà comunque soggetta alla Direttiva per la Privacy in base alla quale gli stessi sono stati raccolti, salvo che l’Utente sia stato informato del cambiamento e non abbia sollevato obiezioni",acceptance
Gli Utenti che utilizzano i servizi offerti da www.gianvitorossi.com dichiarano di conoscere ed accettare i presenti Termini,acceptance
La Ricevuta di elaborazione d’Ordine non costituisce accettazione dell’ordine,acceptance
La conclusione del contratto avviene al momento dell’invio della Conferma d’Ordine da parte del Titolare all’indirizzo email fornito dall’Utente,acceptance
"Il Titolare si riserva la possibilità di non confermare un ordine, comunicando all’Utente entro 5 giorni lavorativi dall’inserimento dell’ordine, all’indirizzo email associato al suo acquisto, l’eventuale indisponibilità di uno o più dei prodotti acquistati",acceptance
"L’Utente che continui ad utilizzare www.gianvitorossi.com successivamente alla pubblicazione delle modifiche, accetta senza riserva i nuovi Termini",acceptance
"L’accesso e l’utilizzo dei Servizi costituisce la sua accettazione ad essere vincolato dai presenti Termini, e con ciò si stabilisce un rapporto contrattuale tra lei e Uber",acceptance
"L’accesso o l’uso continuati dei Servizi dopo tale pubblicazione costituisce il suo consenso ad essere vincolato dai Termini, come modificati",acceptance
"L'accesso al Sito o l'utilizzo dello stesso da parte dell'utente sottintende l'accettazione delle presenti Condizioni e la stipula di un contratto legalmente vincolante con Yelp Ireland Ltd, una società di diritto irlandese (per brevità, (""Yelp"")",acceptance
L'utente riconosce e conviene che continuando ad accedere al Sito o ad utilizzare il medesimo successivamente all’entrata in vigore delle modifiche apportate alle Condizioni dichiara implicitamente di accettare tali modifiche,acceptance
Gli Utenti che utilizzano i Servizi offerti da questa Applicazione dichiarano di conoscere e accettare le presenti condizioni generali di contratto,acceptance
La Ricevuta di Elaborazione d’Ordine non costituisce accettazione dell’ordine,acceptance
La conclusione del contratto avviene al momento dell’invio della Conferma d’Ordine da parte del Titolare all’indirizzo email fornito dall’Utente,acceptance
"Il Titolare si riserva la possibilità di non confermare un ordine, comunicando all'Utente entro 5 giorni lavorativi dall'inserimento dell'ordine – all'indirizzo email associato al suo acquisto – l'eventuale indisponibilità di uno o più dei Servizi acquistati",acceptance
"L'Utente che continui ad utilizzare questa Applicazione successivamente alla pubblicazione delle modifiche, accetta senza riserva i nuovi Termini",acceptance
Gli Utenti che utilizzano i Servizi offerti dal sito (di seguito il “Sito”) dichiarano di conoscere e accettare i presenti Termini e Condizioni di contratto (di seguito i “Termini”),acceptance
Al momento della registrazione l’Utente dichiara di accettare i presenti Termini,acceptance
"L'Utente che continui ad utilizzare la Piattaforma successivamente alla pubblicazione delle modifiche, accetta senza riserva i nuovi Termini",acceptance
"utilizzando la Piattaforma di Quora, acconsenti anche all'applicazione dei presenti termini",acceptance
"La mancata eliminazione del proprio account o l'interruzione dell'utilizzo della Piattaforma di Quora, dopo aver ricevuto la notifica delle modifiche, costituirà l'accettazione dei termini modificati",acceptance
"Utilizzando o effettuando l'accesso ai Servizi, tu (di seguito ""Abbonato"" o ""utente"") accetti di essere vincolato da tutti i termini e condizioni del presente Accordo",acceptance
"Decorso tale periodo, l'uso dei Servizi da parte dell'utente implica l'accettazione dei termini e condizioni dell'Accordo così come modificati",acceptance
"Abbonandovi o altrimenti usando il Servizio Spotify, siti Web e applicazioni software (collettivamente il “Servizio Spotify” o il “Servizio”), oppure accedendo a qualsiasi contenuto o materiale reso disponibile da Spotify tramite il Servizio (il “Contenuto”), l’utente sottoscrive un contratto vincolante con l’entità Spotify indicata alla fine di questo documento",acceptance
"L’utente riconosce di aver letto, compreso e accettato gli Accordi, e di accettare di esservi vincolato.",acceptance
"In alcuni casi Spotify informerà gli utenti anticipatamente, e il protrarsi dell’uso del Servizio dopo l’esecuzione delle modifiche costituirà l’accettazione delle modifiche da parte degli utenti in questione",acceptance
"Ove consentito dalla legge locale, continuando a utilizzare il Servizio Spotify dopo l’entrata in vigore della variazione di prezzo, l’utente accetta il nuovo prezzo",acceptance
"Il presente portale viene offerto all'Utente a condizione dell'accettazione da parte di quest'ultimo e senza modifica di tutti i termini, le condizioni e gli avvisi ivi inclusi (unitamente indicati con il termine ""Accordo"")",acceptance
"Attraverso l'accesso a o qualsiasi utilizzo del portale, l'Utente accetta di essere vincolato dall'Accordo e di aver letto e compreso i relativi termini",acceptance
L'Utente accetta pertanto che l'accesso a o l'utilizzo continuato del portale successivamente alle modifiche implica l'accettazione dell'Accordo così come aggiornato o modificato,acceptance
"Prenotando attraverso la funzione Prenotazione rapida, l'Utente diventa membro di TripAdvisor, ove non lo sia già",acceptance
"Utilizzando la funzione Prenotazione rapida, l'Utente accetta le prassi descritte nella Informativa sulla privacy e tutti i presenti termini e condizioni",acceptance
"Prenotando una casa vacanza attraverso uno dei siti affiliati di TripAdvisor, l'Utente riconosce e accetta i termini di utilizzo e la informativa sulla privacy di tali siti",acceptance
"Pertanto, l'Utente accetta di essere vincolato dai termini e condizioni così come modificati",acceptance
"CONTINUANDO A UTILIZZARE TRIPADVISOR A PARTIRE DA ORA, O A SEGUITO DELLA PUBBLICAZIONE DI AVVISI DI MODIFICHE, L'UTENTE CONFERMA L'ACCETTAZIONE DI TALI MODIFICHE",acceptance
"Ogniqualvolta utilizza i Servizi, l’Utente accetta di essere vincolato dai presenti termini e condizioni",acceptance
L’Utente riconosce che l’utilizzo dei nostri Servizi comporta l’applicazione della nostra Informativa sulla Privacy,acceptance
"Se l’Utente continua a utilizzare i Servizi successivamente alla pubblicazione delle modifiche, lo stesso accetta l’applicazione delle modifiche all’utilizzo continuato dei Servizi",acceptance
"Utilizzando il Servizio in qualsiasi modo, accettate le presenti Condizioni, la nostra Informativa sulla privacy e ogni altro avviso legale o linea guida postati sul Sito",acceptance
"UTILIZZANDO IL SITO, L’UTENTE ACCETTA LE PRESENTI CONDIZIONI D’USO",acceptance
L'inoltro di ordini tramite il Sito (ora o in futuro) comporta l'accettazione da parte degli utenti delle presenti Condizioni del Sito che disciplinano l'utilizzo del Sito stesso,acceptance
"(8) utilizzare il Software reso disponibile in abbonamento o su base limitata senza aver prima attivato e convalidato la licenza, corrisposto tutti i pagamenti ricorrenti dell’abbonamento e accettato le condizioni di abbonamento (http://www.adobe.com/go/paymentterms_it).",amendment
"Qualora Adobe non riceva il pagamento ricorrente dell’abbonamento o non possa convalidare la licenza, il Software diventerà inattivo senza preavviso fino a che Adobe non riceverà il pagamento o convaliderà la licenza.",amendment
"La mancata attivazione o registrazione del Software, la mancata convalida dell’abbonamento o la determinazione da parte nostra di un uso fraudolento o non autorizzato del Software stesso può risultare in funzionalità ridotte, non funzionamento del Software o cessazione o sospensione dell’abbonamento.",amendment
L’Utente accetta di ricevere tali aggiornamenti da Adobe come parte dell’uso del Software da parte dell’Utente.,amendment
"Alcuni dei nostri Servizi ti consentono di scaricare il software client (""Software"") che può aggiornarsi automaticamente",amendment
"Se ritardi nel pagare per il tuo Account a pagamento, ci riserviamo il diritto di sospenderlo o di ridurre il tuo spazio di archiviazione a livelli di spazio gratuito",amendment
"Ci riserviamo il diritto di modificare le tariffe in vigore, ma verrai prima avvisato di tali modifiche tramite un messaggio all'indirizzo email associato al tuo account",amendment
Potremmo decidere di interrompere i Servizi in risposta a circostanze impreviste fuori dal controllo di Dropbox o in ottemperanza a un obbligo giuridico,amendment
Ci riserviamo il diritto di modificare periodicamente i presenti Termini,amendment
"I livelli di iscrizione possono variare e possono essere soggetti a modifiche, a esclusiva discrezione di Booking.com",amendment
"Booking.com può, a sua discrezione, alterare, limitare o modificare (parzialmente) la struttura o qualsiasi altra caratteristica del programma Genius (incluso, a titolo esemplificativo, lo stato dei livelli Genius dell'interessato) per qualsiasi motivo, senza preavviso",amendment
"EA potrebbe aggiornare periodicamente i propri servizi, contenuti e diritti senza fornire alcun preavviso",amendment
Tali aggiornamenti e modifiche potrebbero rendersi necessari per continuare a usufruire dei servizi EA,amendment
EA potrebbe dover aggiornare o azzerare alcuni parametri per bilanciare il gioco e l'uso dei servizi EA,amendment
"Anziché recedere dal presente Accordo e prima di un’eventuale recesso, EA ha facoltà di avvisare l'utente, sospendere o modificare il suo accesso ad un particolare servizio EA o al suo Account EA, rimuovere o revocare diritti a livello di Account EA o di dispositivo, rimuovere o cancellare qualsiasi contenuto che violi il presente Accordo o impedire al dispositivo o alla macchina dell’utente di accedere a specifici servizi EA",amendment
EA ha facoltà di revocare qualsiasi servizio EA in ogni momento,amendment
"I servizi di EA possono richiedere o consentire all'utente di scaricare software, aggiornamenti o patch del software, o altre risorse o strumenti di EA o dei suoi concessori di licenze sul computer dell'utente, sui sistemi digitali o dispositivi di intrattenimento",amendment
Il cliente è consapevole del fatto che potrebbero essere necessari alcuni aggiornamenti di queste tecnologie per continuare a usare i servizi EA,amendment
L'utente consente ad EA di installare automaticamente gli aggiornamenti disponibili per i servizi EA,amendment
"La mancata installazione degli aggiornamenti disponibili potrebbe impedire di utilizzare i servizi EA, inclusi i Prodotti EA PC",amendment
L'Accordo non può essere emendato o modificato se non in forma scritta e firmata da EA,amendment
Il mancato esercizio da parte di EA di qualsiasi diritto ai sensi del presente Accordo non costituisce una rinuncia a tale diritto o a qualsiasi altro diritto,amendment
EA si riserva la facoltà di modificare periodicamente questo Accordo,amendment
"Una volta che l'utente avrà accettato una versione dell'Accordo, non apporteremo future modifiche sostanziali senza il suo esplicito consenso",amendment
"EA non applicherà modifiche sostanziali al presente accordo di arbitrato, se non espressamente accettate dall'utente",amendment
"se l'utente scarica o usa il software di Facebook, concede a Facebook l'autorizzazione a scaricare e installare aggiornamenti al software, laddove disponibili",amendment
"Pertanto, Facebook potrebbe dover aggiornare periodicamente le presenti Condizioni per indicare in modo preciso i suoi servizi e le sue pratiche",amendment
Facebook apporterà modifiche solo se le disposizioni non sono più appropriate o se sono incomplete e solo nei casi in cui tali modifiche siano ragionevoli per l'utente e tengano in dovuta considerazione i suoi interessi,amendment
"Facebook avviserà l'utente (ad es. mediante e-mail o attraverso i Prodotti) almeno 30 giorni prima di apportare modifiche alle presenti Condizioni e darà all’utente la possibilità di consultarle prima della loro entrata in vigore, a meno che le modifiche siano imposte dalla legge",amendment
Qualsiasi modifica o rinuncia alle presenti Condizioni deve essere effettuata per iscritto e sottoscritta da Facebook,amendment
"Garmin può modificare i Termini di utilizzo in qualsiasi momento, aggiornando il presente documento",amendment
L'utente è vincolato alle eventuali modifiche e deve pertanto visitare periodicamente questa pagina per verificare i Termini di utilizzo,amendment
"Qualora l’utente utilizzasse un account Google assegnato da un amministratore, potrebbero essere applicati termini diversi o aggiuntivi e l’amministratore potrebbe essere in grado di accedere all’account o di disattivarlo",amendment
"Quando un Servizio richiede o include software scaricabile, tale software potrebbe aggiornarsi automaticamente sul dispositivo dell’utente qualora sia disponibile una nuova versione o funzione",amendment
Potremmo aggiungere o rimuovere funzionalità o caratteristiche e potremmo sospendere o interrompere del tutto la fornitura di un Servizio,amendment
"Potremmo modificare i presenti termini o eventuali termini aggiuntivi applicabili a un Servizio, ad esempio per rispecchiare modifiche apportate alle leggi o ai nostri Servizi",amendment
Le modifiche non avranno valore retroattivo ed entreranno in vigore non prima di quattordici giorni dopo la data di pubblicazione,amendment
eventuali modifiche riferite alle nuove funzioni di un Servizio o eventuali modifiche apportate per motivi legali entreranno subito in vigore,amendment
"Grindr si riserva il diritto, a sua discrezione, di modificare, aggiungere o interrompere i Servizi di Grindr o qualsiasi loro parte, in qualsiasi momento, per qualsiasi motivo e senza preavviso o responsabilità nei confronti dell’Utente",amendment
"Tuttavia, ci riserviamo il diritto di apportare tali modifiche, aggiunte o interruzioni senza preavviso, se necessario, per rispettare la legge, proteggere o far valere i diritti legali, o altrimenti per affrontare o prevenire un’emergenza",amendment
"Ci riserviamo il diritto di addebitare in qualsiasi momento le spese per l’accesso a tutti o a parte dei Servizi di Grindr e di modificare tali tariffe in qualsiasi momento, a condizione che qualunque modifica non influisca sulle tariffe per i Servizi Premium già pagati dall’Utente",amendment
GRINDR PUÒ ELIMINARE QUALSIASI MATERIALE INVIATO E PROVVEDERE ALL’ELIMINAZIONE DELL’ACCOUNT,amendment
"Grindr potrebbe richiedere di eliminare, o Grindr stessa può eliminare, qualsiasi Contenuto dell’utente (come definito di seguito) in qualsiasi momento e per qualsiasi motivo o senza un motivo specifico",amendment
"Grindr può gestire, regolare, controllare, modificare o eliminare Microtransazioni e/o funzionalità aggiuntive in qualsiasi momento",amendment
"DISATTIVARE QUALSIASI UTILIZZO O ACCESSO AI SERVIZI DI GRINDR DA PARTE DELL’UTENTE, COMPRESE LE INFORMAZIONI CHE RIGUARDANO LA POSIZIONE O I PROFILI DEGLI ALTRI UTENTI",amendment
L’Utente riconosce che Grindr può rilasciare periodicamente versioni aggiornate dei Servizi di Grindr e che può automaticamente aggiornare elettronicamente la versione dei Servizi di Grindr che utilizza sul proprio dispositivo mobile o su qualsiasi altro dispositivo,amendment
"l’Utente e Grindr accettano che, in caso di eventuali modifiche al presente contratto relative alle attività di arbitrato future, tali modifiche non si applicheranno ai reclami depositati nei procedimenti giudiziari contro Grindr prima della data effettiva della modifica",amendment
la modifica si applicherà a tutte le altre controversie o rivendicazioni disciplinate dall’accordo in riferimento agli arbitrati che sono insorti o possono insorgere tra l’Utente e Grindr,amendment
Una disposizione del presente Contratto può essere esclusa soltanto tramite un atto scritto presentato dalla parte legittimata a ricevere il beneficio esplicitato nella disposizione,amendment
"Questo è il Contratto completo tra l’Utente e Grindr in merito all’argomento trattato nel presente documento e non può essere modificato se non per iscritto, firmato da entrambe le parti",amendment
Grindr informerà l’Utente delle modifiche pertinenti ai Servizi e/o alle Linee guida nonché di eventuali cambiamenti ai presenti termini e condizioni,amendment
Grindr informerà l’Utente delle modifiche pertinenti ai Servizi e/o alle Linee guida nonché di eventuali cambiamenti ai presenti termini e condizioni,amendment
"Nonostante la Sezione 6, Grindr aumenterà i prezzi e modificherà il Servizio",amendment
"Grindr si riserva il diritto di modificare, a propria discrezione, qualsiasi disposizioni prevista nel presente Contratto in qualsiasi momento e per qualunque motivo, indipendentemente dall’approvazione precedente dell’Utente",amendment
L’Utente verrà avvisato di tali modifiche,amendment
Accetti che il software venga aggiornato automaticamente e che i presenti Termini si applichino a tutti gli aggiornamenti,amendment
Pinterest può revocare o sospendere il tuo diritto ad accedere o utilizzare Pinterest per qualsiasi motivo con debito preavviso,amendment
ossiamo revocare o sospendere il tuo accesso immediatamente e senza preavviso se abbiamo un motivo valido per farlo,amendment
Possiamo rivedere i presenti Termini di tanto in tanto e la versione più aggiornata sarà sempre pubblicata sul nostro sito web,amendment
"Potremmo di volta in volta modificare questo Contratto, la nostra Informativa sulla privacy e la nostra Informativa sui cookie",amendment
Ci avvaliamo della facoltà di modificare o interrompere qualsiasi Servizio o modificare i nostri prezzi prospetticamente.,amendment
"Noi possiamo cambiare, sospendere o interrompere qualsiasi nostro Servizio",amendment
"Ci riserviamo, inoltre, di modificare i nostri prezzi, che diventano prospetticamente effettivi con un ragionevole preavviso nella misura consentita dalla legge",amendment
Groupon si riserva il diritto di modificare unilateralmente e in qualsiasi momento le presenti Condizioni di Vendita,amendment
"Qualsiasi tentativo di riscattare un Coupon contrariamente a queste Condizioni di Vendita può rendere, a discrezione di Groupon, nullo tale Coupon",amendment
Mozilla potrà aggiornare i presenti Termini di volta in volta per integrare una nuova funzione delle Comunicazioni o per chiarire un provvedimento,amendment
"Di tanto in tanto, potremmo apportare modifiche all'Accordo e al Servizio per vari motivi",amendment
"Questo significa che di tanto in tanto potremmo aggiungere nuove funzioni o miglioramenti oppure rimuovere alcune funzioni esistenti e, se queste azioni non incidono in modo sostanziale sui diritti o sugli obblighi dell'utente, potremmo procedere in tal senso senza previa notifica",amendment
"Potremmo perfino sospendere in toto il Servizio, nel qual caso lo comunicheremo all'utente in anticipo, a meno che non siano presenti circostanze attenuanti, come problemi di sicurezza, che ci impediscono di farlo",amendment
Qualsiasi software che forniamo all'utente può scaricare e installare automaticamente aggiornamenti o nuove funzioni,amendment
"Il Titolare si riserva il diritto di aggiungere, rimuovere funzionalità o caratteristiche ovvero sospendere o interrompere in via temporanea il Servizio",amendment
"Il Titolare si riserva il diritto di apportare modifiche ai presenti Termini in qualunque momento, dandone avviso all’Utente mediante la sua pubblicazione all’interno di Wure",amendment
"Il Titolare si riserva il diritto di aggiungere, rimuovere funzionalità o caratteristiche ovvero sospendere o interrompere del tutto la fornitura del Servizio, sia in via temporanea che definitiva",amendment
"Il Titolare si riserva il diritto di apportare modifiche ai presenti Termini in qualunque momento, dandone avviso all'Utente mediante la sua pubblicazione all'interno di NaturaSì Online Shopping",amendment
"Questi Termini potrebbero subire modifiche qualora si presentino nuove funzionalità, tecnologie o requisiti legali, perciò è bene rivederli di tanto in tanto",amendment
"Ad eccezione delle modifiche apportate da noi come descritto nei presenti Termini, nessuna altra modifica potrà essere considerata valida salvo qualora stabilita per iscritto, esplicitamente indicata come tale e debitamente firmata dall'utente e da Evernote",amendment
"Evernote detiene il diritto di implementare, a sua esclusiva discrezione, nuovi elementi come parte del Servizio o come elementi accessori, incluse modifiche che potrebbero incidere sulla precedente modalità di funzionamento del servizio o del software Evernote",amendment
"Evernote si riserva inoltre il diritto di stabilire limiti alla natura o alle dimensioni dello spazio di archiviazione reso disponibile, al numero di trasmissioni, alla possibilità di inviare o ricevere messaggi email, alla natura o alle dimensioni di qualsiasi indice o libreria, alla natura o alla possibilità di accedere al contenuto e ad altri dati in modo continuativo e di distribuirli, nonché il diritto di fissare altre limitazioni in qualsiasi momento, con o senza darne avviso",amendment
"Relativamente a qualsiasi modifica del Servizio, Evernote potrebbe di tanto in tanto scaricare automaticamente aggiornamenti software sui computer e sui dispositivi degli utenti allo scopo di migliorare, perfezionare, correggere e/o sviluppare ulteriormente il Servizio",amendment
"In ogni caso, l'utente accetta di ricevere da Evernote tali aggiornamenti nell'ambito dell'uso del Servizio",amendment
I presenti Termini possono subire delle variazioni in qualsiasi momento a nostra discrezione,amendment
"Qualsiasi software da noi fornito potrebbe scaricarsi automaticamente e installare aggiornamenti, versioni successive o altre nuove funzionalità",amendment
"Ciò significa che possiamo aggiungere o rimuovere funzioni, prodotti o funzionalità e possiamo anche sospendere o interrompere del tutto i Servizi",amendment
"Possiamo intraprendere tali azioni in qualsiasi momento e, in questo caso, cercheremo di dartene preventiva notifica, ma ciò non sarà sempre possibile",amendment
"All’occorrenza, Terravision ha facoltà di modificare la presente Direttiva per la Privacy in seguito ad iniziative di settore o a variazioni riguardanti la legislazione, le modalità di raccolta e uso delle IIP o dei Dati Attinenti, le funzionalità dei servizi o le tecnologie. Tali variazioni avranno efficacia dal momento in cui saranno pubblicate dalla Società sul Sito",amendment
"I prezzi, le descrizioni o la disponibilità dei prodotti esposti sono soggetti a modifica senza preavviso",amendment
"Il Titolare si riserva il diritto di aggiungere, rimuovere funzionalità o caratteristiche ovvero sospendere o interrompere del tutto la fornitura del Servizio, sia in via temporanea che definitiva",amendment
"Il Titolare si riserva il diritto di apportare modifiche ai presenti Termini in qualunque momento, dandone avviso all’Utente mediante la sua pubblicazione all’interno di www.gianvitorossi.com",amendment
Uber può modificare i Termini relativi ai Servizi di volta in volta,amendment
Le modifiche entreranno in vigore con la pubblicazione da parte di Uber di tali Termini aggiornati in questo sito o delle politiche modificate o dei Termini aggiuntivi sui Servizi applicabili,amendment
"Nel rapporto tra lei e Uber, Uber si riserva il diritto di stabilire, rimuovere e/o modificare gli Addebiti per alcuni o tutti i servizi o beni ottenuti attraverso l’utilizzo dei Servizi in qualsiasi momento ad esclusiva discrezione di Uber",amendment
Ci riserviamo la facoltà di apportare modifiche e aggiornamenti alle presenti Condizioni,amendment
L'utente riconosce e conviene che l'accesso al Sito o l'utilizzo dello stesso sono disciplinati dalle Condizioni in vigore al momento dell'accesso al Sito o dell'utilizzo dello stesso,amendment
"Qualora apportassimo delle modifiche sostanziali alle presenti Condizioni, sarà nostra cura darne notizia all'utente via e-mail o attraverso la pubblicazione di un avviso sul Sito prima della data di entrata in vigore delle stesse",amendment
Tali eventuali modifiche entreranno in vigore nella data di pubblicazione delle nuove condizioni,amendment
"La maniera, il modo e la misura relativi alla pubblicazione di messaggi pubblicitari sono soggetti a modica senza alcun preavviso dovuto nei confronti dell'utente",amendment
Yelp si riserva tutti i diritti legati ai Feed di contenuto e ha la facoltà di cessarli in qualsiasi momento,amendment
"Ci riserviamo il diritto, a nostro insindacabile giudizio, di modificare, aggiornare o sospendere il Sito in qualsiasi momento, per qualsiasi o nessuna ragione, e senza preavviso o senza essere legalmente perseguibili",amendment
Il Titolare si riserva la facoltà di offrire sconti e promozioni differenti nel corso dell’anno,amendment
"Il Titolare si riserva il diritto di aggiungere, rimuovere funzionalità o caratteristiche ovvero sospendere o interrompere del tutto la fornitura del Servizio, sia in via temporanea che definitiva",amendment
